ID,Longitude,Latitude,year,month,LST_d,LST_n
4199,-44.5,-9.5,2020,7,32.055824275,21.8554479318182
4200,-44.5,-9.5,2020,8,35.8036290909091,23.5883280458333
4201,-44.5,-9.5,2020,9,39.8174909,25.3036291
4202,-44.5,-9.5,2020,10,42.8479899066667,25.6328517357143
4203,-44.5,-9.5,2020,11,31.9999924,23.82799074
4204,-44.5,-9.5,2020,12,34.3283259083333,23.7266574444444
4205,-44.5,-9.5,2021,1,32.4963545363636,23.2657078285714
4206,-44.5,-9.5,2021,2,30.6799926666667,NA
4207,-44.5,-9.5,2021,3,28.3933308833333,22.5699920625
4208,-44.5,-9.5,2021,4,28.0127230545455,22.56399536
4209,-44.5,-9.5,2021,5,30.6899915428571,20.85199585
4210,-44.5,-9.5,2021,6,31.5488823833333,21.9442792642857
4211,-44.5,-9.5,2021,7,32.5756437869565,22.3799947095238
4212,-44.5,-9.5,2021,8,36.2254458409091,23.1180928571429
4213,-44.5,-9.5,2021,9,41.1986613066667,25.1239929266667
4214,-44.5,-9.5,2021,10,39.5588163647059,25.52499388125
4215,-44.5,-9.5,2021,11,33.03199464,23.21999512
4216,-44.5,-9.5,2021,12,29.5533243666666,NA
4217,-44.5,-8.5,2015,1,33.2955525666667,23.0363547727273
4218,-44.5,-8.5,2015,2,34.2999878,21.8399963
4219,-44.5,-8.5,2015,3,30.95599366,22.2533264166667
4220,-44.5,-8.5,2015,4,30.18399046,21.2799944428571
4221,-44.5,-8.5,2015,5,29.0937442875,21.5166575
4222,-44.5,-8.5,2015,6,31.4136283227273,21.1138399461538
4223,-44.5,-8.5,2015,7,32.5826044478261,22.4914245619048
4224,-44.5,-8.5,2015,8,35.1284531846154,22.55699615
4225,-44.5,-8.5,2015,9,40.543192136,25.1055501166667
4226,-44.5,-8.5,2015,10,42.154994195,25.6810463368421
4227,-44.5,-8.5,2015,11,38.07499695,23.8953763615385
4228,-44.5,-8.5,2015,12,36.96532592,24.51374054375
4229,-44.5,-8.5,2016,1,33.17999265,22.8200073
4230,-44.5,-8.5,2016,2,32.9583257083333,23.2644416
4231,-44.5,-8.5,2016,3,32.2124938875,24.2699890333333
4232,-44.5,-8.5,2016,4,31.8492220461538,22.5457066142857
4233,-44.5,-8.5,2016,5,32.9647550952381,22.7876891923077
4234,-44.5,-8.5,2016,6,32.2926218052632,22.31888325
4235,-44.5,-8.5,2016,7,33.703996576,21.6121627043478
4236,-44.5,-8.5,2016,8,36.680791024,22.8209048272727
4237,-44.5,-8.5,2016,9,38.9094058882353,23.7771366642857
4238,-44.5,-8.5,2016,10,40.7477722166667,23.5430720384615
4239,-44.5,-8.5,2016,11,40.3857073071429,24.2399926
4240,-44.5,-8.5,2016,12,32.2400055,21.2657122
4241,-44.5,-8.5,2017,1,31.894989,21.86799926
4242,-44.5,-8.5,2017,2,32.8999939,19.91000365
4243,-44.5,-8.5,2017,3,29.1199951,23.9733276
4244,-44.5,-8.5,2017,4,31.1508983181818,22.9885602714286
4245,-44.5,-8.5,2017,5,31.5035202882353,20.5642787357143
4246,-44.5,-8.5,2017,6,30.847193616,21.6487464875
4247,-44.5,-8.5,2017,7,30.7146078346154,20.8322160611111
4248,-44.5,-8.5,2017,8,35.842217337037,23.1180899428571
4249,-44.5,-8.5,2017,9,37.6915306692308,24.3591588333333
4250,-44.5,-8.5,2017,10,40.5339037,24.7273623842105
4251,-44.5,-8.5,2017,11,35.3644409222222,22.6574936
4252,-44.5,-8.5,2017,12,34.64398192,21.894989025
4253,-44.5,-8.5,2018,1,32.84000244,21.8257054
4254,-44.5,-8.5,2018,2,31.1100006,22.35998535
4255,-44.5,-8.5,2018,3,28.9599838,21.71499635
4256,-44.5,-8.5,2018,4,29.9199931,21.6166585333333
4257,-44.5,-8.5,2018,5,30.7771359428571,21.8176449
4258,-44.5,-8.5,2018,6,31.19039306,21.1618971952381
4259,-44.5,-8.5,2018,7,32.3961475076923,21.1523786238095
4260,-44.5,-8.5,2018,8,35.9715306230769,22.8305166
4261,-44.5,-8.5,2018,9,39.1333255,23.61999511875
4262,-44.5,-8.5,2018,10,39.1323007461539,24.1914258571429
4263,-44.5,-8.5,2018,11,35.01999513,22.4524955625
4264,-44.5,-8.5,2018,12,32.7350006,21.234992975
4265,-44.5,-8.5,2019,1,31.99598996,21.5433248
4266,-44.5,-8.5,2019,2,29.7799988,22.92800292
4267,-44.5,-8.5,2019,3,28.0685599285714,22.5533345333333
4268,-44.5,-8.5,2019,4,28.1299896166667,21.98199462
4269,-44.5,-8.5,2019,5,30.5589390842105,21.33999415
4270,-44.5,-8.5,2019,6,30.0008252416667,20.819990175
4271,-44.5,-8.5,2019,7,31.45416005,20.8658770411765
4272,-44.5,-8.5,2019,8,34.659188228,22.3086932608696
4273,-44.5,-8.5,2019,9,39.1149915083333,23.9780898380952
4274,-44.5,-8.5,2019,10,40.824991225,24.1699938285714
4275,-44.5,-8.5,2019,11,39.3849945125,23.6138422769231
4276,-44.5,-8.5,2019,12,36.6771371,23.46266276
4277,-44.5,-8.5,2020,1,33.5800018,22.8933207333333
4278,-44.5,-8.5,2020,2,31.1433258166667,22.0999908375
4279,-44.5,-8.5,2020,3,28.08399048,23.4400024
4280,-44.5,-8.5,2020,4,28.2549934375,21.1199951
4281,-44.5,-8.5,2020,5,29.72499275,21.8419983
4282,-44.5,-8.5,2020,6,28.5374933916667,20.8777703222222
4283,-44.5,-8.5,2020,7,30.31999512,20.623992925
4284,-44.5,-8.5,2020,8,32.6791235913043,21.79999195
4285,-44.5,-8.5,2020,9,37.4286883826087,23.69444105
4286,-44.5,-8.5,2020,10,38.7814200214286,23.5528520857143
4287,-44.5,-8.5,2020,11,34.25,23.04399414
4288,-44.5,-8.5,2020,12,32.83999023,22.66999207
4289,-44.5,-8.5,2021,1,32.5799967333333,22.64799804
4290,-44.5,-8.5,2021,2,28.214988725,NA
4291,-44.5,-8.5,2021,3,28.78399658,21.41999512
4292,-44.5,-8.5,2021,4,28.088562,22.669998175
4293,-44.5,-8.5,2021,5,30.00265706,20.75799866
4294,-44.5,-8.5,2021,6,30.798991395,20.9444359666667
4295,-44.5,-8.5,2021,7,31.3552304238095,20.70443725
4296,-44.5,-8.5,2021,8,34.1454453909091,21.63499259375
4297,-44.5,-8.5,2021,9,37.6957048785714,23.98532714
4298,-44.5,-8.5,2021,10,36.0959899933333,24.3254505272727
4299,-44.5,-8.5,2021,11,29.5885620142857,22.8333282333333
4300,-44.5,-8.5,2021,12,29.0299988,NA
4301,-44.5,-7.5,2015,1,34.08331805,21.7799987777778
4302,-44.5,-7.5,2015,2,25.8800049,21.20999145
4303,-44.5,-7.5,2015,3,31.6000061,21.78399048
4304,-44.5,-7.5,2015,4,36.7799988,21.4966634
4305,-44.5,-7.5,2015,5,36.53199159,21.4584608769231
4306,-44.5,-7.5,2015,6,36.5247555761905,20.4173278866667
4307,-44.5,-7.5,2015,7,38.7539049173913,19.9899919166667
4308,-44.5,-7.5,2015,8,42.024794924,20.3033269208333
4309,-44.5,-7.5,2015,9,47.5455491777778,21.7634728434783
4310,-44.5,-7.5,2015,10,48.65799256,23.4852122434783
4311,-44.5,-7.5,2015,11,46.4399922833333,22.42624473125
4312,-44.5,-7.5,2015,12,46.1114240285714,23.5166625916667
4313,-44.5,-7.5,2016,1,38.69999695,22.2933247666667
4314,-44.5,-7.5,2016,2,35.7622138222222,22.262493125
4315,-44.5,-7.5,2016,3,32.26398926,22.269989
4316,-44.5,-7.5,2016,4,34.6966603666667,22.5199928125
4317,-44.5,-7.5,2016,5,38.73124313125,19.95399474
4318,-44.5,-7.5,2016,6,38.8533284466667,20.63439208
4319,-44.5,-7.5,2016,7,39.738395992,18.9074910583333
4320,-44.5,-7.5,2016,8,42.2973831869565,20.189158125
4321,-44.5,-7.5,2016,9,44.6876854307692,21.13999366875
4322,-44.5,-7.5,2016,10,42.4861473615385,21.8028477214286
4323,-44.5,-7.5,2016,11,44.174987775,22.3866577166667
4324,-44.5,-7.5,2016,12,26.3866577,19.6628505142857
4325,-44.5,-7.5,2017,1,26.75,20.4474906875
4326,-44.5,-7.5,2017,2,29.7933248,20.219986
4327,-44.5,-7.5,2017,3,35.3599854,21.5700022166667
4328,-44.5,-7.5,2017,4,30.71499635,20.7461477384615
4329,-44.5,-7.5,2017,5,31.8953739923077,19.947993475
4330,-44.5,-7.5,2017,6,34.9495181095238,19.4557832473684
4331,-44.5,-7.5,2017,7,35.2924931958333,18.6658756058824
4332,-44.5,-7.5,2017,8,40.6074905333333,19.2419937
4333,-44.5,-7.5,2017,9,41.091191408,21.4712962347826
4334,-44.5,-7.5,2017,10,45.5333285666667,21.5719930066667
4335,-44.5,-7.5,2017,11,39.674995425,21.6272666363636
4336,-44.5,-7.5,2017,12,36.35500335,20.6724929875
4337,-44.5,-7.5,2018,1,26.75198972,21.35998536
4338,-44.5,-7.5,2018,2,26.0199992,20.019989
4339,-44.5,-7.5,2018,3,30.69000245,21.5319946
4340,-44.5,-7.5,2018,4,35.604995725,21.0628531285714
4341,-44.5,-7.5,2018,5,36.4316558833333,18.34749221875
4342,-44.5,-7.5,2018,6,37.1641578625,18.3566589291667
4343,-44.5,-7.5,2018,7,38.6939060434783,17.2116610166667
4344,-44.5,-7.5,2018,8,41.447189932,18.3199953826087
4345,-44.5,-7.5,2018,9,42.6057019785714,19.8157830421053
4346,-44.5,-7.5,2018,10,43.1549911625,21.27874564375
4347,-44.5,-7.5,2018,11,41.1628505142857,21.35599366
4348,-44.5,-7.5,2018,12,33.96400146,18.9233246
4349,-44.5,-7.5,2019,1,32.83599242,20.3399876142857
4350,-44.5,-7.5,2019,2,30.83999632,21.7749939
4351,-44.5,-7.5,2019,4,34.4299927,21.9914202
4352,-44.5,-7.5,2019,5,34.0185634071429,21.1228528642857
4353,-44.5,-7.5,2019,6,36.714988715,19.8833279
4354,-44.5,-7.5,2019,7,36.1961829666667,20.4254483318182
4355,-44.5,-7.5,2019,8,41.202493025,19.8619021380952
4356,-44.5,-7.5,2019,9,45.2009451714286,21.6736803526316
4357,-44.5,-7.5,2019,10,45.586657225,23.3222147777778
4358,-44.5,-7.5,2019,11,44.70332335,23.2699915583333
4359,-44.5,-7.5,2019,12,37.244995125,22.7214202928571
4360,-44.5,-7.5,2020,1,33.2849884,22.57999675
4361,-44.5,-7.5,2020,2,29.57999268,22.1555480888889
4362,-44.5,-7.5,2020,3,28.5599975333333,21.9099884
4363,-44.5,-7.5,2020,4,29.7879944,21.3733215333333
4364,-44.5,-7.5,2020,5,31.6971304857143,20.4028494571429
4365,-44.5,-7.5,2020,6,33.9488796722222,19.075228752381
4366,-44.5,-7.5,2020,7,36.527991936,18.033998105
4367,-44.5,-7.5,2020,8,39.372993465,19.08599395
4368,-44.5,-7.5,2020,9,43.5152875058824,19.7011040555556
4369,-44.5,-7.5,2020,10,44.7074890125,20.3199932461538
4370,-44.5,-7.5,2020,11,38.1666565,21.8342721
4371,-44.5,-7.5,2020,12,31.46665955,20.5710991666667
4372,-44.5,-7.5,2021,1,29.57999878,21.65999754
4373,-44.5,-7.5,2021,2,33.6066589333333,23.0599976
4374,-44.5,-7.5,2021,3,30.4533182666667,20.8066609666667
4375,-44.5,-7.5,2021,4,29.59598998,21.43499755
4376,-44.5,-7.5,2021,5,33.70124625625,19.9953777692308
4377,-44.5,-7.5,2021,6,35.2999942052632,19.38099518
4378,-44.5,-7.5,2021,7,36.08999176,18.0309018181818
4379,-44.5,-7.5,2021,8,38.86699066,18.73124504375
4380,-44.5,-7.5,2021,9,41.7711012111111,20.09624480625
